Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Jul-23,2832,2855,2796.45,2840,2825.836221,782335,43098,2210750580,417880,53.41,58.55,8
18-Jul-23,2812.05,2838,2794,2822.4,2813.552398,364444,19866,1025382290,200000,54.88,44,10.35
17-Jul-23,2746.7,2816,2728.55,2796.4,2780.31217,453640,21402,1261260813,256190,56.47,87.45,49.7
14-Jul-23,2751.05,2760.8,2723.75,2738.9,2738.693265,499323,26100,1367492537,170719,34.19,37.05,-12.15
13-Jul-23,2780.9,2799.95,2737.75,2743.15,2780.672589,261573,16173,727348871,146996,56.2,62.2,-37.75
12-Jul-23,2769.85,2802.2,2762,2766.2,2780.86468,325221,21261,904395592,159848,49.15,40.2,-3.65
11-Jul-23,2750.2,2769.85,2738.5,2764.3,2753.4658,527404,28533,1452188877,310076,58.79,31.35,14.1
10-Jul-23,2686,2755,2672.75,2735.15,2730.82855,1110570,69522,3032776263,712657,64.17,82.25,49.15
07-Jul-23,2632.8,2665,2627.4,2635.45,2642.863002,576768,31686,1524318808,137881,23.91,37.6,2.65
06-Jul-23,2576,2644.3,2576,2638.35,2627.340479,619409,34420,1627398339,375475,60.62,68.3,62.35
05-Jul-23,2600.55,2604,2575.7,2584.8,2587.612696,61768,6072,159831661,25342,41.03,28.3,-15.75
04-Jul-23,2621,2626.5,2573.25,2588.25,2595.597973,189823,9444,492704194,124699,65.69,53.25,-32.75
03-Jul-23,2553.2,2622,2553.2,2615.2,2594.171088,517214,35468,1341741605,350871,67.84,68.8,62
30-Jun-23,2540.05,2556.7,2533,2550.7,2542.410839,289824,19687,736851679,176556,60.92,23.7,10.65
28-Jun-23,2516,2537.25,2497.7,2529.35,2525.107662,171621,13923,433361502,116954,68.15,39.55,13.35
27-Jun-23,2501,2510,2486.4,2495.8,2495.111112,148922,11504,371576937,116873,78.48,23.6,-5.2
26-Jun-23,2504,2515.9,2489.25,2494.2,2499.732812,197782,16762,494402155,133526,67.51,26.65,-9.8
23-Jun-23,2530,2532.8,2511.1,2515.25,2521.0284,289996,22793,731088152,145374,50.13,21.7,-14.75
22-Jun-23,2561.7,2572.9,2532.25,2535.6,2552.037861,61620,10185,157256573,21315,34.59,40.65,-26.1
21-Jun-23,2556.35,2569.1,2547.95,2563.6,2560.359581,144710,9931,370509635,116185,80.29,21.15,7.25
20-Jun-23,2550.5,2564,2535,2546.75,2545.358236,171359,10217,436170042,142715,83.28,29,-3.75
19-Jun-23,2582.2,2584,2543.4,2551.5,2552.289896,165566,10930,422572429,115804,69.94,40.6,-30.7
16-Jun-23,2555.6,2581,2555.6,2575.4,2572.215595,150565,15481,387285641,86924,57.73,25.4,19.8
15-Jun-23,2547.05,2561.9,2535.2,2551.55,2549.880231,284440,23638,725287933,203451,71.53,26.7,4.5
14-Jun-23,2518.05,2555,2516.6,2552.6,2542.876454,196737,18495,500277885,136961,69.62,38.4,34.55
13-Jun-23,2490.75,2523.3,2486.25,2520.4,2510.701755,205509,14771,515971807,151807,73.87,37.05,29.65
12-Jun-23,2478,2489,2465.1,2483.1,2479.281089,75549,9576,187307207,36613,48.46,23.9,5.1
09-Jun-23,2495.05,2508.1,2478.05,2481.9,2493.255577,169640,16518,422955876,82894,48.86,30.05,-13.15
08-Jun-23,2502.4,2516,2491,2499.8,2503.360953,136486,11246,341673723,59283,43.44,25,-2.6
07-Jun-23,2486.1,2499.55,2472.35,2497.55,2484.453338,211341,21369,525066853,158423,74.96,27.2,11.45
06-Jun-23,2481.3,2490.1,2462.55,2480.25,2471.819147,115547,9365,285611287,78416,67.86,27.55,-1.05
05-Jun-23,2465.1,2483.7,2458.1,2476.8,2467.927866,119029,10689,293754986,77617,65.21,25.6,11.7
02-Jun-23,2475,2482.8,2451.05,2454.95,2460.344276,101224,10332,249045889,48389,47.8,31.75,-20.05
01-Jun-23,2478,2484.45,2457.95,2462.05,2470.213714,240274,19120,593528130,172926,71.97,26.5,-15.95
31-May-23,2506.95,2508.95,2461.7,2474.7,2482.621696,205076,13789,509126127,135044,65.85,47.25,-32.25
30-May-23,2520,2537.45,2513.9,2519.4,2525.411341,146443,13232,369828813,95343,65.11,23.55,-0.6
29-May-23,2519,2530,2506.95,2519.8,2518.960643,416211,26445,1048419128,328603,78.95,23.05,0.8
26-May-23,2453.6,2510,2449.15,2506.55,2489.453656,261121,18211,650048628,181784,69.62,60.85,52.95
25-May-23,2433.5,2448.45,2415.7,2438.55,2423.733224,186194,9965,451284584,124844,67.05,32.75,5.05
24-May-23,2446.6,2463,2433.3,2437.05,2445.782269,154319,8827,377430674,127187,82.42,29.7,-9.55
23-May-23,2465,2468.25,2451.85,2454.1,2458.972273,87497,8510,215152697,54480,62.26,16.4,-10.9
22-May-23,2430,2465,2430,2454.5,2455.294666,144136,15497,353896352,79660,55.27,35,24.5
19-May-23,2432.7,2445.75,2419.55,2442.8,2432.56711,54880,7760,133499283,22173,40.4,26.2,10.1
18-May-23,2454.8,2456.1,2428,2433.85,2444.231227,56823,7246,138888551,17562,30.91,28.1,-20.95
17-May-23,2460.35,2463.7,2429.2,2438.8,2444.605074,158298,17831,386976094,87326,55.17,34.5,-21.55
16-May-23,2496,2498,2451,2453.85,2473.509256,83298,9390,206038374,30828,37.01,47,-42.15
15-May-23,2486,2503.75,2472.6,2488.15,2489.93516,67628,8929,168389335,33258,49.18,31.15,2.15
12-May-23,2477,2488,2456.55,2484.1,2471.7393,61427,7470,151831530,22702,36.96,31.45,7.1
11-May-23,2499.5,2509,2473.8,2478.3,2493.187587,98850,8888,246451593,46792,47.34,35.2,-21.2
10-May-23,2485.6,2499.9,2481.5,2496.3,2492.63577,99083,8503,246977830,46624,47.06,18.4,10.7
09-May-23,2475,2486.95,2463.5,2479.15,2476.130052,65220,8186,161493202,29809,45.71,23.45,4.15
08-May-23,2450.95,2483.5,2444.85,2471.35,2467.486986,92596,9968,228479425,48748,52.65,38.65,20.4
